Roll(deg),Pitch(deg),Yaw(deg),Alpha_P(deg),Alpha_Y(deg)
0.000000,0.000000,0.000000,108.468000,108.468000
0.000000,0.005054,0.005054,108.450000,108.450000
0.000000,0.010111,0.010111,108.432000,108.432000
0.000000,0.015173,0.015173,108.414000,108.414000
0.000000,0.020238,0.020238,108.396000,108.396000
0.000000,0.025307,0.025307,108.378000,108.378000
0.000000,0.030380,0.030380,108.360000,108.360000
0.000000,0.035457,0.035457,108.342000,108.342000
0.000000,0.040538,0.040538,108.324000,108.324000
0.000000,0.045622,0.045622,108.306000,108.306000
0.000000,0.050711,0.050711,108.288000,108.288000
0.000000,0.055803,0.055803,108.270000,108.270000
0.000000,0.060899,0.060899,108.252000,108.252000
0.000000,0.065999,0.065999,108.234000,108.234000
0.000000,0.071103,0.071103,108.216000,108.216000
0.000000,0.076211,0.076211,108.198000,108.198000
0.000000,0.081322,0.081322,108.180000,108.180000
0.000000,0.086438,0.086438,108.162000,108.162000
0.000000,0.091557,0.091557,108.144000,108.144000
0.000000,0.096680,0.096680,108.126000,108.126000
0.000000,0.101807,0.101807,108.108000,108.108000
0.000000,0.106938,0.106938,108.090000,108.090000
0.000000,0.112072,0.112072,108.072000,108.072000
0.000000,0.117211,0.117211,108.054000,108.054000
0.000000,0.122353,0.122353,108.036000,108.036000
0.000000,0.127499,0.127499,108.018000,108.018000
0.000000,0.132649,0.132649,108.000000,108.000000
0.000000,0.137803,0.137803,107.982000,107.982000
0.000000,0.142961,0.142961,107.964000,107.964000
0.000000,0.148123,0.148123,107.946000,107.946000
0.000000,0.153288,0.153288,107.928000,107.928000
0.000000,0.158457,0.158457,107.910000,107.910000
0.000000,0.163631,0.163631,107.892000,107.892000
0.000000,0.168808,0.168808,107.874000,107.874000
0.000000,0.173989,0.173989,107.856000,107.856000
0.000000,0.179173,0.179173,107.838000,107.838000
0.000000,0.184362,0.184362,107.820000,107.820000
0.000000,0.189554,0.189554,107.802000,107.802000
0.000000,0.194751,0.194751,107.784000,107.784000
0.000000,0.199951,0.199951,107.766000,107.766000
0.000000,0.205155,0.205155,107.748000,107.748000
0.000000,0.210362,0.210362,107.730000,107.730000
0.000000,0.215574,0.215574,107.712000,107.712000
0.000000,0.220790,0.220790,107.694000,107.694000
0.000000,0.226009,0.226009,107.676000,107.676000
0.000000,0.231232,0.231232,107.658000,107.658000
0.000000,0.236459,0.236459,107.640000,107.640000
0.000000,0.241690,0.241690,107.622000,107.622000
0.000000,0.246925,0.246925,107.604000,107.604000
0.000000,0.252164,0.252164,107.586000,107.586000
0.000000,0.257406,0.257406,107.568000,107.568000
0.000000,0.262653,0.262653,107.550000,107.550000
0.000000,0.267903,0.267903,107.532000,107.532000
0.000000,0.273157,0.273157,107.514000,107.514000
0.000000,0.278415,0.278415,107.496000,107.496000
0.000000,0.283677,0.283677,107.478000,107.478000
0.000000,0.288942,0.288942,107.460000,107.460000
0.000000,0.294212,0.294212,107.442000,107.442000
0.000000,0.299485,0.299485,107.424000,107.424000
0.000000,0.304762,0.304762,107.406000,107.406000
0.000000,0.310043,0.310043,107.388000,107.388000
0.000000,0.315328,0.315328,107.370000,107.370000
0.000000,0.320617,0.320617,107.352000,107.352000
0.000000,0.325909,0.325909,107.334000,107.334000
0.000000,0.331206,0.331206,107.316000,107.316000
0.000000,0.336506,0.336506,107.298000,107.298000
0.000000,0.341810,0.341810,107.280000,107.280000
0.000000,0.347118,0.347118,107.262000,107.262000
